# Time	U	V	U_magnitude
108.6	0.00633169	0.0269961	0.0277287
108.8	0.00699991	0.0251234	0.0260803
109	0.00754044	0.0231846	0.0243799
109.2	0.0079462	0.0211896	0.0226305
109.4	0.00821148	0.0191488	0.0208352
109.6	0.00833126	0.0170733	0.0189976
109.8	0.00830161	0.014975	0.0171222
110	0.00811981	0.0128665	0.0152144
110.2	0.00778446	0.010761	0.0132814
110.4	0.00729551	0.0086719	0.0113325
110.6	0.00665441	0.00661313	0.00938161
110.8	0.00586361	0.00459862	0.00745179
111	0.00492759	0.00264245	0.0055914
111.2	0.00385162	0.000758675	0.00392563
111.4	0.00264265	-0.00103982	0.00283986
111.6	0.00130903	-0.00274008	0.00303671
111.8	-0.00014024	-0.00433205	0.00433432
112	-0.0016942	-0.00580652	0.00604864
112.2	-0.00334198	-0.00715509	0.00789709
112.4	-0.00507244	-0.00837033	0.00978734
112.6	-0.00687428	-0.00944585	0.0116825
112.8	-0.00873593	-0.0103764	0.0135642
113	-0.0106455	-0.0111577	0.0154214
113.2	-0.0125912	-0.0117862	0.0172469
113.4	-0.0145611	-0.0122599	0.019035
113.6	-0.0165434	-0.0125772	0.0207815
113.8	-0.0185261	-0.0127379	0.0224827
114	-0.0204978	-0.0127426	0.0241357
114.2	-0.022447	-0.0125928	0.025738
114.4	-0.0243624	-0.012291	0.0272873
114.6	-0.0262332	-0.0118406	0.0287817
114.8	-0.028049	-0.0112461	0.0302195
115	-0.0297994	-0.0105126	0.0315994
115.2	-0.0314752	-0.00964619	0.0329202
115.4	-0.0330671	-0.00865393	0.0341807
115.6	-0.0345667	-0.00754359	0.0353803
115.8	-0.0355552	-0.00644987	0.0361355
116	-0.0368673	-0.00517148	0.0372283
116.2	-0.0380693	-0.00380081	0.0382585
116.4	-0.0391555	-0.00234807	0.0392258
116.6	-0.0401212	-0.000824124	0.0401297
116.8	-0.0409627	0.000759389	0.0409697
117	-0.041677	0.00239048	0.0417455
117.2	-0.0422624	0.00405761	0.0424568
117.4	-0.042718	0.00574932	0.0431031
117.6	-0.0430439	0.00745427	0.0436846
117.8	-0.0432414	0.00916139	0.0442013
118	-0.0433128	0.0108599	0.0446535
118.2	-0.0432611	0.0125395	0.0450418
118.4	-0.0430903	0.0141905	0.0453668
118.6	-0.0428055	0.0158036	0.0456296
118.8	-0.0424121	0.0173704	0.0458314
119	-0.0419167	0.0188833	0.0459737
119.2	-0.0413259	0.0203354	0.0460583
119.4	-0.0406474	0.0217209	0.046087
119.6	-0.0398889	0.0230349	0.0460623
119.8	-0.0390585	0.0242734	0.0459866
120	-0.0381643	0.0254335	0.0458626
120.2	-0.0372147	0.0265132	0.0456934
120.4	-0.0362176	0.0275116	0.0454819
120.6	-0.035181	0.0284285	0.0452315
120.8	-0.0341122	0.0292648	0.0449452
121	-0.0330181	0.0300218	0.0446263
121.2	-0.0319051	0.0307018	0.0442779
121.4	-0.0307786	0.0313074	0.043903
121.6	-0.0296434	0.0318415	0.0435041
121.8	-0.0285034	0.0323074	0.0430838
122	-0.027362	0.0327084	0.0426441
122.2	-0.0262213	0.0330478	0.0421866
122.4	-0.0250832	0.0333284	0.0417127
122.6	-0.0239485	0.0335531	0.0412231
122.8	-0.0228179	0.033724	0.0407181
123	-0.0216911	0.033843	0.0401977
123.2	-0.0205681	0.0339113	0.0396613
123.4	-0.0194483	0.0339294	0.039108
123.6	-0.018331	0.0338972	0.0385363
123.8	-0.0172159	0.0338143	0.0379446
124	-0.0161027	0.0336792	0.0373308
124.2	-0.0149915	0.0334904	0.0366926
124.4	-0.0138826	0.0332454	0.0360275
124.6	-0.0127774	0.0329416	0.0353328
124.8	-0.0116773	0.0325761	0.0346058
125	-0.010585	0.0321459	0.0338437
125.2	-0.00950354	0.0316476	0.0330437
125.4	-0.00843696	0.0310783	0.0322032
125.6	-0.00739003	0.0304352	0.0313196
125.8	-0.00636831	0.0297158	0.0303906
126	-0.00537792	0.0289184	0.0294142
126.2	-0.00442584	0.0280414	0.0283886
126.4	-0.00351946	0.0270849	0.0273126
126.6	-0.00266636	0.0260489	0.026185
