"velocity_X","Points_Y"
0.201211,0.815408
0.20214,0.816406
0.203073,0.817404
0.204015,0.818402
0.204957,0.819401
0.205899,0.820399
0.206846,0.821397
0.2078,0.822395
0.208755,0.823393
0.20971,0.824391
0.21067,0.825389
0.211638,0.826387
0.212606,0.827385
0.213573,0.828383
0.214549,0.829381
0.21553,0.830379
0.216511,0.831377
0.217492,0.832375
0.218483,0.833373
0.219477,0.834371
0.220471,0.835369
0.221466,0.836367
0.222471,0.837366
0.223479,0.838364
0.224487,0.839362
0.225495,0.84036
0.226514,0.841358
0.227535,0.842356
0.228556,0.843354
0.229577,0.844352
0.230611,0.84535
0.231645,0.846348
0.232679,0.847346
0.233714,0.848344
0.234761,0.849342
0.235807,0.85034
0.236853,0.851338
0.237901,0.852336
0.238959,0.853334
0.240017,0.854332
0.241074,0.85533
0.242135,0.856328
0.243203,0.857327
0.244271,0.858325
0.245339,0.859323
0.246411,0.860321
0.247488,0.861319
0.248566,0.862317
0.249643,0.863315
0.250724,0.864313
0.251808,0.865311
0.252893,0.866309
0.253978,0.867307
0.255066,0.868305
0.256156,0.869303
0.257246,0.870301
0.258336,0.871299
0.259429,0.872297
0.260522,0.873295
0.261616,0.874293
0.262709,0.875291
0.263803,0.876289
0.264897,0.877288
0.265991,0.878286
0.267085,0.879284
0.268177,0.880282
0.269268,0.88128
0.27036,0.882278
0.271451,0.883276
0.272537,0.884274
0.273623,0.885272
0.274709,0.88627
0.275794,0.887268
0.27687,0.888266
0.277947,0.889264
0.279023,0.890262
0.280097,0.89126
0.28116,0.892258
0.282223,0.893256
0.283287,0.894254
0.284344,0.895252
0.28539,0.896251
0.286436,0.897249
0.287481,0.898247
0.288518,0.899245
0.289541,0.900243
0.290564,0.901241
0.291588,0.902239
0.292597,0.903237
0.293594,0.904235
0.29459,0.905233
0.295587,0.906231
0.296563,0.907229
0.297528,0.908227
0.298492,0.909225
0.299457,0.910223
0.300394,0.911221
0.301321,0.912219
0.302248,0.913217
0.303175,0.914215
0.304067,0.915214
0.304951,0.916212
0.305835,0.91721
0.306719,0.918208
0.307558,0.919206
0.308394,0.920204
0.309229,0.921202
0.310063,0.9222
0.310844,0.923198
0.311625,0.924196
0.312406,0.925194
0.31318,0.926192
0.3139,0.92719
0.31462,0.928188
0.315341,0.929186
0.316046,0.930184
0.3167,0.931182
0.317354,0.93218
0.318008,0.933178
0.318638,0.934177
0.319219,0.935175
0.3198,0.936173
0.320382,0.937171
0.320929,0.938169
0.321432,0.939167
0.321935,0.940165
0.322438,0.941163
0.322897,0.942161
0.323317,0.943159
0.323737,0.944157
0.324157,0.945155
0.324524,0.946153
0.324859,0.947151
0.325194,0.948149
0.32553,0.949147
0.325808,0.950145
0.326066,0.951143
0.326324,0.952141
0.326582,0.953139
0.326797,0.954138
0.327004,0.955136
0.32721,0.956134
0.327417,0.957132
0.327644,0.95813
0.327872,0.959128
0.3281,0.960126
0.328334,0.961124
0.328753,0.962122
0.329171,0.96312
0.32959,0.964118
0.330083,0.965116
0.331051,0.966114
0.332019,0.967112
0.332986,0.96811
0.334251,0.969108
0.336469,0.970106
0.338687,0.971104
0.340906,0.972102
0.343974,0.973101
0.348702,0.974099
0.35343,0.975097
0.358158,0.976095
0.3649,0.977093
0.374203,0.978091
0.383507,0.979089
0.39281,0.980087
0.406226,0.981085
0.423125,0.982083
0.440024,0.983081
0.456923,0.984079
0.481051,0.985077
0.5092,0.986075
0.537347,0.987073
0.565496,0.988071
0.604009,0.989069
0.64609,0.990067
0.688169,0.991065
0.73025,0.992064
0.782285,0.993062
0.836144,0.99406
0.889999,0.995058
0.943857,0.996056
