# Time	U	V	U_magnitude
71	-0.0167104	0.0291173	0.0335717
71.2	-0.0166849	0.0281278	0.0327041
71.4	-0.0167026	0.0271395	0.0318674
71.6	-0.0167635	0.0261546	0.0310657
71.8	-0.0168676	0.0251752	0.0303036
72	-0.017015	0.0242036	0.0295859
72.2	-0.0172054	0.0232421	0.0289174
72.4	-0.0174385	0.0222929	0.0283033
72.6	-0.017714	0.0213584	0.0277482
72.8	-0.0180311	0.0204406	0.0272569
73	-0.0183893	0.0195419	0.0268338
73.2	-0.0187878	0.0186641	0.0264827
73.4	-0.0192254	0.0178097	0.026207
73.6	-0.0197014	0.016981	0.0260096
73.8	-0.0202147	0.0161797	0.0258924
74	-0.0207637	0.0154079	0.025856
74.2	-0.0213473	0.0146677	0.0259007
74.4	-0.0219639	0.0139607	0.0260253
74.6	-0.022612	0.0132889	0.0262278
74.8	-0.0232898	0.0126541	0.0265055
75	-0.0239959	0.0120578	0.0268551
75.2	-0.0247282	0.0115014	0.0272721
75.4	-0.0254845	0.0109866	0.0277519
75.6	-0.026263	0.0105147	0.0282897
75.8	-0.0270618	0.0100869	0.0288805
76	-0.0278787	0.00970405	0.0295194
76.2	-0.0287113	0.00936738	0.0302008
76.4	-0.0295572	0.00907782	0.0309198
76.6	-0.0304141	0.00883613	0.0316717
76.8	-0.0312796	0.0086429	0.0324517
77	-0.0321513	0.00849868	0.0332556
77.2	-0.0330268	0.00840386	0.0340792
77.4	-0.0339035	0.0083587	0.0349187
77.6	-0.0347789	0.00836334	0.0357703
77.8	-0.0356503	0.00841777	0.0366306
78	-0.0365152	0.00852185	0.0374965
78.2	-0.0373711	0.00867531	0.0383648
78.4	-0.0382152	0.00887776	0.0392329
78.6	-0.0390452	0.00912867	0.0400981
78.8	-0.0398583	0.00942736	0.040958
79	-0.0406518	0.00977296	0.04181
79.2	-0.0414231	0.0101642	0.0426519
79.4	-0.0421701	0.0106	0.0434819
79.6	-0.0428905	0.0110794	0.0442984
79.8	-0.0435818	0.0116009	0.0450994
80	-0.0442414	0.0121628	0.0458829
80.2	-0.0448673	0.0127633	0.0466473
80.4	-0.0454575	0.0134006	0.0473916
80.6	-0.0460099	0.014073	0.048114
80.8	-0.0465223	0.014778	0.048813
81	-0.0469932	0.0155134	0.0494877
81.2	-0.0474209	0.0162772	0.0501367
81.4	-0.0478036	0.0170665	0.0507587
81.6	-0.0481401	0.0178791	0.051353
81.8	-0.0484289	0.0187121	0.0519182
82	-0.0486691	0.0195628	0.0524536
82.2	-0.0488596	0.0204284	0.0529583
82.4	-0.0489996	0.021306	0.0534313
82.6	-0.0490885	0.0221928	0.0538721
82.8	-0.0491259	0.0230857	0.0542798
83	-0.0491114	0.0239817	0.0546539
83.2	-0.0490449	0.0248778	0.0549937
83.4	-0.0489266	0.0257709	0.0552988
83.6	-0.0487567	0.0266582	0.0555686
83.8	-0.0485357	0.0275365	0.055803
84	-0.0482642	0.0284029	0.0560014
84.2	-0.047943	0.0292546	0.0561637
84.4	-0.0475731	0.0300886	0.0562896
84.6	-0.0471556	0.0309022	0.0563791
84.8	-0.046692	0.0316927	0.056432
85	-0.0461836	0.0324575	0.0564483
85.2	-0.0456322	0.033194	0.0564282
85.4	-0.0450394	0.0339	0.0563716
85.6	-0.0444072	0.0345732	0.0562788
85.8	-0.0437376	0.0352114	0.05615
86	-0.0430328	0.0358126	0.0559854
86.2	-0.0422949	0.036375	0.0557853
86.4	-0.0415263	0.0368969	0.0555501
86.6	-0.0407295	0.0373767	0.0552802
86.8	-0.0399067	0.037813	0.0549761
87	-0.0390607	0.0382045	0.0546381
87.2	-0.0381939	0.0385502	0.0542668
87.4	-0.0373089	0.0388491	0.0538628
87.6	-0.0364083	0.0391003	0.0534266
87.8	-0.0354948	0.0393032	0.0529587
88	-0.034571	0.0394574	0.0524599
88.2	-0.0336395	0.0395623	0.0519307
88.4	-0.0327029	0.0396179	0.0513718
88.6	-0.0317639	0.0396239	0.0507838
88.8	-0.0308249	0.0395804	0.0501675
89	-0.0298887	0.0394874	0.0495236
89.2	-0.0289575	0.0393454	0.0488529
89.4	-0.0280341	0.0391546	0.048156
89.6	-0.0271208	0.0389156	0.0474337
89.8	-0.0262199	0.0386289	0.046687
90	-0.025334	0.0382952	0.0459166
90.2	-0.0244653	0.0379154	0.0451235
90.4	-0.0236162	0.0374904	0.0443086
90.6	-0.0227888	0.0370211	0.0434729
90.8	-0.0219853	0.0365088	0.0426174
91	-0.0212081	0.0359545	0.0417434
91.2	-0.020459	0.0353597	0.0408519
91.4	-0.0197403	0.0347258	0.0399444
91.6	-0.0190539	0.0340542	0.0390223
91.8	-0.0184018	0.0333466	0.038087
92	-0.0177859	0.0326048	0.0371404
92.2	-0.0172079	0.0318305	0.0361842
92.4	-0.0166698	0.0310258	0.0352205
92.6	-0.0161732	0.0301927	0.0342516
92.8	-0.0157196	0.0293334	0.03328
93	-0.0153106	0.0284502	0.0323084
93.2	-0.0149477	0.0275454	0.0313398
93.4	-0.0146321	0.0266216	0.0303777
93.6	-0.0143651	0.0256813	0.0294259
93.8	-0.0141477	0.0247273	0.0284885
94	-0.0139808	0.0237625	0.0275703
94.2	-0.0138651	0.0227898	0.0266761
94.4	-0.0138014	0.021812	0.0258117
94.6	-0.01379	0.0208324	0.0249831
94.8	-0.0138313	0.019854	0.0241968
95	-0.0139253	0.0188801	0.02346
95.2	-0.0140719	0.0179138	0.0227799
95.4	-0.0142707	0.0169587	0.0221641
95.6	-0.0145212	0.0160178	0.0216203
95.8	-0.0148228	0.0150946	0.0211557
96	-0.0151745	0.0141924	0.0207772
96.2	-0.0155752	0.0133144	0.0204905
96.4	-0.0160235	0.0124636	0.0203001
96.6	-0.0165177	0.0116433	0.0202089
96.8	-0.0170561	0.0108567	0.0202182
97	-0.0176369	0.0101063	0.0203273
97.2	-0.0182577	0.00939514	0.0205332
97.4	-0.0189164	0.00872595	0.020832
97.6	-0.0196105	0.00810086	0.0212178
97.8	-0.020337	0.00752239	0.0216836
98	-0.0210933	0.00699278	0.0222222
98.2	-0.0218769	0.0065137	0.022826
98.4	-0.0226843	0.00608682	0.0234867
98.6	-0.0235122	0.00571381	0.0241965
98.8	-0.0243576	0.00539594	0.0249481
99	-0.025217	0.00513428	0.0257344
99.2	-0.0260875	0.00492963	0.0265491
99.4	-0.0269653	0.00478251	0.0273862
99.6	-0.0278471	0.00469331	0.0282398
99.8	-0.0287291	0.00466219	0.0291049
100	-0.0296078	0.00468909	0.0299769
100.2	-0.0304799	0.00477364	0.0308514
100.4	-0.0313417	0.00491522	0.0317248
100.6	-0.03219	0.00511305	0.0325935
100.8	-0.0330214	0.00536613	0.0334546
101	-0.0338327	0.00567325	0.0343051
101.2	-0.0346206	0.00603295	0.0351423
101.4	-0.0353818	0.00644355	0.0359638
101.6	-0.036113	0.00690284	0.0367668
101.8	-0.0368118	0.00740872	0.0375499
102	-0.0374755	0.00795915	0.0383114
102.2	-0.0381012	0.00855158	0.0390491
102.4	-0.0386865	0.00918294	0.0397614
102.6	-0.0392294	0.00985073	0.0404473
102.8	-0.0397276	0.0105519	0.041105
103	-0.0401793	0.0112831	0.0417335
103.2	-0.0405831	0.0120414	0.0423318
103.4	-0.0409373	0.0128232	0.0428987
103.6	-0.0412409	0.0136252	0.0434334
103.8	-0.0414929	0.0144439	0.0439351
104	-0.0416927	0.0152757	0.0444031
104.2	-0.0418398	0.0161171	0.0448367
104.4	-0.0419339	0.0169646	0.0452355
104.6	-0.0419752	0.0178146	0.0455991
104.8	-0.0419638	0.0186637	0.0459271
105	-0.0419004	0.0195084	0.0462193
105.2	-0.0417856	0.0203455	0.0464755
105.4	-0.0416203	0.0211715	0.0466957
105.6	-0.0414059	0.0219835	0.0468798
105.8	-0.0411435	0.0227783	0.047028
106	-0.0408347	0.0235532	0.0471405
106.2	-0.0404813	0.0243053	0.0472174
106.4	-0.0400851	0.0250322	0.0472592
106.6	-0.0396481	0.0257314	0.0472661
106.8	-0.0391724	0.0264007	0.0472385
107	-0.0386603	0.0270382	0.0471771
107.2	-0.0381139	0.0276418	0.0470823
107.4	-0.0375358	0.0282099	0.0469546
107.6	-0.0369282	0.0287411	0.0467947
107.8	-0.0362937	0.029234	0.0466032
108	-0.0356347	0.0296874	0.0463808
108.2	-0.0349537	0.0301003	0.046128
108.4	-0.0342532	0.030472	0.0458456
108.6	-0.0335356	0.0308016	0.0455343
108.8	-0.0328033	0.0310887	0.0451947
109	-0.0320587	0.0313327	0.0448275
109.2	-0.0313043	0.0315334	0.0444333
